trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.01, 'e': 1.6666666666666667}",25,-9,-318.22263244314456,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 5}",0
61,False,"{'a': 0.01, 'e': 1.639344262295082}",20,-60,-275.17335858177313,"{0: 48, 1: 14, 2: 14, 3: 1, 4: 3}",0
62,False,"{'a': 0.01, 'e': 1.6129032258064517}",20,-100,-565.4439873012607,"{0: 79, 1: 8, 2: 20, 3: 4, 4: 9}",0
63,False,"{'a': 0.01, 'e': 1.5873015873015872}",25,-100,-669.6246865848207,"{0: 67, 1: 15, 2: 29, 3: 8, 4: 6}",0
64,False,"{'a': 0.01, 'e': 1.5625}",20,-100,-588.879770318114,"{0: 74, 1: 15, 2: 19, 3: 3, 4: 9}",0
65,False,"{'a': 0.01, 'e': 1.5384615384615383}",25,-83,-525.121309571401,"{0: 64, 1: 8, 2: 23, 3: 9, 4: 4}",0
66,False,"{'a': 0.01, 'e': 1.5151515151515151}",20,-66,-414.4840152622412,"{0: 51, 1: 11, 2: 17, 3: 1, 4: 6}",0
67,False,"{'a': 0.01, 'e': 1.4925373134328357}",20,-100,-566.9259171416202,"{0: 78, 1: 7, 2: 22, 3: 5, 4: 8}",0
68,False,"{'a': 0.01, 'e': 1.4705882352941175}",25,12,-63.616635478630684,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 1.4492753623188404}",25,-65,-349.26472700812235,"{0: 57, 1: 14, 2: 13, 3: 0, 4: 6}",0
70,False,"{'a': 0.01, 'e': 1.4285714285714284}",25,-100,-673.2266484842474,"{0: 75, 1: 13, 2: 22, 3: 5, 4: 10}",0
71,False,"{'a': 0.01, 'e': 1.4084507042253522}",20,-76,-333.6846357233283,"{0: 64, 1: 10, 2: 14, 3: 4, 4: 4}",0
72,False,"{'a': 0.01, 'e': 1.3888888888888888}",20,-100,-609.3350960162111,"{0: 66, 1: 16, 2: 26, 3: 6, 4: 6}",0
73,False,"{'a': 0.01, 'e': 1.36986301369863}",20,-100,-606.9736753332639,"{0: 71, 1: 14, 2: 23, 3: 3, 4: 9}",0
74,False,"{'a': 0.01, 'e': 1.3513513513513513}",25,-100,-714.561784622559,"{0: 71, 1: 11, 2: 27, 3: 7, 4: 9}",0
75,False,"{'a': 0.01, 'e': 1.3333333333333333}",25,-57,-363.0269504882029,"{0: 55, 1: 3, 2: 16, 3: 3, 4: 5}",0
76,False,"{'a': 0.01, 'e': 1.3157894736842106}",20,-100,-863.7664014914309,"{0: 69, 1: 9, 2: 20, 3: 8, 4: 14}",0
77,False,"{'a': 0.01, 'e': 1.2987012987012987}",20,-100,-634.6513838594244,"{0: 67, 1: 15, 2: 26, 3: 4, 4: 8}",0
78,False,"{'a': 0.01, 'e': 1.282051282051282}",20,-25,-316.62321605910205,"{0: 23, 1: 4, 2: 11, 3: 3, 4: 4}",0
79,False,"{'a': 0.01, 'e': 1.2658227848101264}",25,-100,-776.972540522653,"{0: 74, 1: 6, 2: 27, 3: 7, 4: 11}",0
80,False,"{'a': 0.01, 'e': 1.25}",20,-64,-328.13721169978004,"{0: 54, 1: 8, 2: 16, 3: 2, 4: 4}",0
81,False,"{'a': 0.01, 'e': 1.2345679012345678}",30,-53,-337.23208646724976,"{0: 53, 1: 6, 2: 17, 3: 3, 4: 4}",0
82,False,"{'a': 0.01, 'e': 1.2195121951219512}",25,-1,-306.4600031428696,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 6}",1
83,False,"{'a': 0.01, 'e': 1.2048192771084336}",20,-100,-553.8026614589319,"{0: 77, 1: 13, 2: 17, 3: 5, 4: 8}",0
84,False,"{'a': 0.01, 'e': 1.1904761904761905}",30,-10,-333.49268909679853,"{0: 20, 1: 3, 2: 9, 3: 3, 4: 5}",0
85,False,"{'a': 0.01, 'e': 1.1764705882352942}",20,-72,-395.9431659821426,"{0: 64, 1: 7, 2: 11, 3: 3, 4: 7}",0
86,False,"{'a': 0.01, 'e': 1.1627906976744187}",25,-100,-659.4843105397636,"{0: 74, 1: 11, 2: 27, 3: 4, 4: 9}",0
87,False,"{'a': 0.01, 'e': 1.1494252873563218}",30,-75,-534.3620656761889,"{0: 59, 1: 12, 2: 24, 3: 4, 4: 6}",0
88,False,"{'a': 0.01, 'e': 1.1363636363636365}",20,-35,-187.9212655278396,"{0: 36, 1: 6, 2: 9, 3: 2, 4: 2}",0
89,False,"{'a': 0.01, 'e': 1.1235955056179776}",25,-4,-207.473788034533,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 3}",0
90,False,"{'a': 0.01, 'e': 1.1111111111111112}",20,-100,-789.1786480508797,"{0: 62, 1: 20, 2: 23, 3: 2, 4: 13}",0
91,False,"{'a': 0.01, 'e': 1.0989010989010988}",20,-100,-626.6889654810957,"{0: 71, 1: 13, 2: 23, 3: 5, 4: 8}",0
92,False,"{'a': 0.01, 'e': 1.0869565217391304}",20,-50,-366.6832779077504,"{0: 35, 1: 11, 2: 18, 3: 3, 4: 3}",0
93,False,"{'a': 0.01, 'e': 1.075268817204301}",35,-83,-404.88143190560845,"{0: 84, 1: 6, 2: 17, 3: 5, 4: 6}",0
94,False,"{'a': 0.01, 'e': 1.0638297872340425}",20,-46,-303.3807472687294,"{0: 40, 1: 7, 2: 11, 3: 5, 4: 3}",0
95,False,"{'a': 0.01, 'e': 1.0526315789473684}",30,3,-62.17934588583111,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 1.0416666666666667}",25,-11,-293.4777611601697,"{0: 19, 1: 3, 2: 7, 3: 2, 4: 5}",0
97,False,"{'a': 0.01, 'e': 1.0309278350515465}",20,-75,-541.1751391960853,"{0: 53, 1: 11, 2: 19, 3: 6, 4: 6}",0
98,False,"{'a': 0.01, 'e': 1.0204081632653061}",30,-61,-382.5091764718245,"{0: 59, 1: 5, 2: 18, 3: 4, 4: 5}",0
99,False,"{'a': 0.01, 'e': 1.0101010101010102}",25,-15,-322.46009760971685,"{0: 18, 1: 4, 2: 13, 3: 0, 4: 5}",0
100,False,"{'a': 0.01, 'e': 1.0}",25,-86,-641.6434930599917,"{0: 63, 1: 12, 2: 22, 3: 5, 4: 9}",0
101,False,"{'a': 0.01, 'e': 0.9900990099009901}",30,-100,-609.4462528512821,"{0: 78, 1: 8, 2: 33, 3: 5, 4: 6}",0
102,False,"{'a': 0.01, 'e': 0.9803921568627451}",25,-2,-223.93391719146615,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 4}",0
103,False,"{'a': 0.01, 'e': 0.970873786407767}",25,-57,-539.1373889511168,"{0: 47, 1: 9, 2: 13, 3: 4, 4: 9}",0
104,False,"{'a': 0.01, 'e': 0.9615384615384615}",30,0,-89.95817466866168,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.9523809523809523}",30,-68,-397.39089737013524,"{0: 65, 1: 7, 2: 16, 3: 5, 4: 5}",0
106,False,"{'a': 0.01, 'e': 0.9433962264150942}",20,-100,-415.26964178197335,"{0: 77, 1: 13, 2: 22, 3: 4, 4: 4}",0
107,False,"{'a': 0.01, 'e': 0.9345794392523364}",25,-100,-504.31830621003166,"{0: 81, 1: 11, 2: 22, 3: 5, 4: 6}",0
108,False,"{'a': 0.01, 'e': 0.9259259259259258}",25,-100,-723.6447186797498,"{0: 75, 1: 13, 2: 21, 3: 4, 4: 12}",0
109,False,"{'a': 0.01, 'e': 0.9174311926605504}",20,-45,-258.94436422330006,"{0: 40, 1: 7, 2: 14, 3: 1, 4: 3}",0
110,False,"{'a': 0.01, 'e': 0.9090909090909091}",20,-40,-337.4967457844247,"{0: 37, 1: 6, 2: 9, 3: 2, 4: 6}",0
111,False,"{'a': 0.01, 'e': 0.9009009009009008}",20,-30,-145.08153725812454,"{0: 38, 1: 4, 2: 3, 3: 2, 4: 3}",0
112,False,"{'a': 0.01, 'e': 0.8928571428571428}",20,-36,-257.962449963228,"{0: 34, 1: 5, 2: 12, 3: 2, 4: 3}",0
